cluster_75	86	CDH1	ETF1	FAU	H3BNC9_HUMAN	RACK1	RPL10	RPL10A	RPL10L	RPL11	RPL12	RPL13	RPL13A	RPL14	RPL15	RPL17	RPL17-C18orf32	RPL18	RPL18A	RPL19	RPL21	RPL22	RPL23	RPL23A	RPL24	RPL26	RPL26L1	RPL27	RPL27A	RPL28	RPL29	RPL3	RPL30	RPL31	RPL32	RPL34	RPL35	RPL35A	RPL36	RPL36A	RPL36AL	RPL37	RPL37A	RPL38	RPL39	RPL4	RPL5	RPL6	RPL7	RPL7A	RPL8	RPL9	RPLP0	RPS10	RPS10-NUDT3	RPS11	RPS12	RPS13	RPS14	RPS15	RPS15A	RPS16	RPS17	RPS18	RPS19	RPS2	RPS20	RPS21	RPS23	RPS24	RPS25	RPS26	RPS27	RPS27A	RPS28	RPS29	RPS3	RPS3A	RPS4X	RPS4Y1	RPS5	RPS6	RPS7	RPS8	RPS9	RPSA	UBA52
cluster_76	4	HTR3A	HTR3B	HTR3C	HTR3D
cluster_77	4	POLD1	POLD2	POLD3	POLE
cluster_78	4	ARNTL	CLOCK	NR1D1	PER2
cluster_79	4	C7	C8B	C8G	C9
cluster_80	4	GPS2	TBL1X	TBL1XR1	TBL1Y
cluster_81	5	CLP1	TSEN15	TSEN2	TSEN34	TSEN54
cluster_82	4	HSPB3	IGF1	IGF2	INS
cluster_83	4	IDH3A	IDH3B	IDH3G	OGDHL
cluster_84	4	UPK1A	UPK1B	UPK2	UPK3A
cluster_85	7	ADM	CALCA	CALCB	IAPP	RAMP1	RAMP2	RAMP3
cluster_86	4	CYLD	THOC1	THOC2	THOC3
cluster_87	4	WASHC2A	WASHC2C	WASHC4	WASHC5
cluster_88	4	KIR2DL1	KIR3DL1	KLRC2	KLRD1
cluster_89	4	PRKAA2	PRKAB2	PRKAG2	PRKAG3
cluster_90	4	CTNNB1	TBL1X	TBL1XR1	TBL1Y
cluster_91	4	GLI2	THOC1	THOC2	THOC3
cluster_92	4	AMT	GCSH	GLDC	MYBPH
cluster_93	4	EGLN3	EPAS1	HIF1A	HIF3A
cluster_94	6	ASH2L	RBBP5	SDC1	SETD1A	WDR5	WDR82
cluster_95	4	C9orf72	RAB39B	SMCR8	WDR41
cluster_96	4	GGA1	GGA2	GGA3	IGF2R
cluster_97	4	TLR1	TLR10	TLR2	TLR6
cluster_98	4	DISC1	NDE1	NDEL1	PAFAH1B1
cluster_99	5	AGL	GBE1	PYGB	PYGL	PYGM
cluster_100	7	NCAPD2	NCAPD3	NCAPG	NCAPG2	NCAPH2	SMC2	SMC4
cluster_101	4	CLCF1	CNTF	CNTFR	LIFR
cluster_102	8	CDC73	CTR9	ERCC6	LEO1	PAF1	RTF1	SUPT5H	SUPT6H
cluster_103	4	CLP1	TSEN15	TSEN34	TSEN54
cluster_104	5	POLI	RPS27A	UBA52	UBB	UBC
cluster_105	4	MLLT1	MLLT10	MLLT3	MLLT6
cluster_106	5	LIG3	PNKP	POLB	TDP1	XRCC1
cluster_107	4	CFL1	CFL2	LIMK1	LIMK2
cluster_108	4	KLC1	KLC2	KLC3	KLC4
cluster_109	4	EZR	PRKACA	PRKACB	PRKACG
cluster_110	5	RPS27A	SH3KBP1	UBA52	UBB	UBC
cluster_111	4	PPP2R1A	PPP2R1B	PPP2R2D	PPP2R5C
cluster_112	4	C9orf72	RAB8A	SMCR8	WDR41
cluster_113	4	GRP	GRPR	NMB	NMBR
cluster_114	4	ARNTL	CLOCK	PER2	SIRT1
cluster_115	5	HDAC6	RPS27A	UBA52	UBB	UBC
cluster_116	4	NPB	NPBWR1	NPBWR2	NPW
cluster_117	5	ATP5F1A	ATP5F1B	ATP5MC2	ATP5MC3	ATP5MPL
cluster_118	5	MDM4	RPS27A	UBA52	UBB	UBC
cluster_119	4	CYP19A1	HSD17B1	HSD17B2	HSD17B3
cluster_120	4	GAR1	NAF1	NHP2	NOP10
cluster_121	4	CSAG1	MAGEA12	MAGEA3	MAGEA6
cluster_122	8	CALM3	CALML3	CALML4	CALML5	CALML6	PRKACA	PRKACB	PRKACG
cluster_123	8	CASP10	CASP8	CFLAR	FADD	FAF1	FAS	RIPK1	TRADD
cluster_124	6	HAT1	ORC1	ORC2	ORC3	ORC4	ORC5
cluster_125	7	APH1A	APH1B	NCSTN	PSEN1	PSEN2	PSENEN	TMED10
cluster_126	5	AGO1	AGO2	AGO3	AGO4	TNRC6B
cluster_127	8	GRIN1	GRIN2A	GRIN2B	GRIN2C	GRIN2D	GRIN3A	GRIN3B	PDYN
cluster_128	4	AZI2	IKBKE	TBK1	TBKBP1
cluster_129	4	PPP3CA	PPP3CC	PPP3R1	PPP3R2
cluster_130	6	CALM3	CALML3	CALML4	CALML5	CALML6	CAV1
cluster_131	4	SUMO1	SUMO2	TDG	UBE2I
cluster_132	4	CAB39L	STK11	STRADA	STRADB
cluster_133	4	EIF2S1	PPP1CA	PPP1CB	PPP1CC
cluster_134	5	NCAPD2	NCAPD3	NCAPG	NCAPH2	SMC2
cluster_135	4	GBE1	PYGB	PYGL	PYGM
cluster_136	5	KIR2DL1	KIR2DL3	KLRC2	KLRC3-2	KLRD1
cluster_137	4	CUL1	FBH1	RBX1	SKP1
cluster_138	4	KIR2DL3	KLRC2	KLRC3-2	KLRD1
cluster_139	5	IDE	RPS27A	UBA52	UBB	UBC
cluster_140	5	MCM2	MCM3	MCM7	ORC1	POLE2
cluster_141	4	BNIP1	NBAS	STX18	USE1
cluster_142	6	CYBA	CYBB	NCF1	NCF2	NCF4	RAP1A
cluster_143	6	CALM3	CALML3	CALML4	CALML5	CALML6	MBP
cluster_144	4	APOE	APP	CLU	TREM2
cluster_145	8	PPARGC1A	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_146	4	ALKBH3	ASCC1	ASCC2	ASCC3
cluster_147	4	DVL1	DVL2	DVL3	NKD1
cluster_148	6	ACE	ACE2	AGT	AGTR1	KNG1	REN
cluster_149	5	ALKBH3	ASCC1	ASCC2	ASCC3	TRIP4
cluster_150	4	CAPRIN1	G3BP1	G3BP2	USP10
cluster_151	4	GADD45A	GADD45B	GADD45G	MAP3K4
cluster_152	10	ABI1	ARF1	BRK1	CYFIP1	CYFIP2	NCKAP1	NCKAP1L	WASF1	WASF2	WASF3
cluster_153	5	EZR	MSN	RDX	SLC9A3R1	SLC9A3R2
cluster_154	5	HSP90AA1	HSP90AB1	HSPA4	HSPA8	SGTA
cluster_155	6	CYBA	CYBB	NCF1	NCF2	NCF4	PRKCD
cluster_156	4	GFPT1	GFPT2	GNPDA1	GNPNAT1
cluster_157	4	GSK3B	PRKACA	PRKACB	PRKACG
cluster_158	4	BUB1B	DSN1	NDC80	ZWINT
cluster_159	5	BCL10	CARD10	CARD11	MALT1	PRKCQ
cluster_160	4	MYBPC3	MYH7	TNNT2	TPM1
cluster_161	4	ATP6AP1	ATP6AP2	ATP6V1B1	ATP6V1B2
cluster_162	4	ERCC1	ERCC4	ERCC8	XPA
cluster_163	4	GSPT2	PABPC1	SMG1	UPF1
cluster_164	4	IL20	IL20RA	IL20RB	IL22RA1
cluster_165	4	PFDN2	PFDN4	PFDN6	URI1
cluster_166	5	KAT14	KAT2A	KAT2B	MBIP	ZZZ3
cluster_167	8	HMGCR	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_168	5	LIPE	PLIN1	PRKACA	PRKACB	PRKACG
cluster_169	4	ALKBH3	ASCC2	ASCC3	TRIP4
cluster_170	4	CPLANE2	FUZ	INTU	WDPCP
cluster_171	5	CDC73	CTR9	ERCC6	TCEA2	WDR61
cluster_172	6	CALM3	CALML3	CALML4	CALML5	CALML6	PIK3C3
cluster_173	5	CIAO1	CIAO2B	MMS19	SLC25A5	SLC25A6
cluster_174	8	MAP3K7	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_175	5	BRD1	BRPF3	ING4	ING5	KAT7
cluster_176	5	RABGEF1	RPS27A	UBA52	UBB	UBC
cluster_177	6	BTRC	CD4	CUL1	FBXW11	RBX1	SKP1
cluster_178	5	DDX3Y	KDM5D	TMSB4Y	USP9Y	UTY
cluster_179	6	AKT1S1	DEPTOR	IGBP1	MLST8	MTOR	RPTOR
cluster_180	4	CFTR	PRKACA	PRKACB	PRKACG
cluster_181	4	STAR	VDAC1	VDAC2	VDAC3
cluster_182	5	ACAN	BCAN	NCAN	PTPRZ1	VCAN
cluster_183	5	TIMM17A	TIMM17B	TIMM21	TIMM23	TIMM50
cluster_184	7	MAPKAP1	MLST8	RICTOR	RPTOR	SMG1	TELO2	TTI1
cluster_185	4	AGO2	AGO3	AGO4	TNRC6B
cluster_186	4	FMR1	FXR1	FXR2	NUFIP1
cluster_187	5	GAR1	NAF1	NHP2	NOP10	SHQ1
cluster_188	8	CRTC2	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_189	8	GSK3B	KIF5A	KIF5B	KIF5C	KLC1	KLC2	KLC3	KLC4
cluster_190	5	ACTB	ACTG1	EZR	MSN	RDX
cluster_191	8	CFTR	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_192	4	BAZ1A	RSF1	SMARCA1	SMARCA5
cluster_193	4	ATG12	ATG16L1	ATG5	TUFM
cluster_194	8	LIPE	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_195	5	CCZ1	CCZ1B	MON1A	MON1B	RMC1
cluster_196	9	ACTR10	ACTR1A	BICDL1	DCTN1	DCTN2	DCTN3	DCTN4	DCTN5	DCTN6
cluster_197	5	PDRG1	PFDN2	PFDN4	PFDN6	URI1
cluster_198	4	AKT1S1	MAPKAP1	PRR5	RPTOR
cluster_199	5	AGL	GBE1	GYG2	PYGB	PYGL
cluster_200	5	BCL10	CARD10	CARD11	CARD14	MALT1
cluster_201	5	BBIP1	BBS2	BBS5	BBS9	RAB3IP
cluster_202	4	F11R	IGSF5	JAM2	JAM3
cluster_203	4	ELL	SNF8	VPS25	VPS36
cluster_204	8	CTR9	ELOA	ERCC6	LEO1	PAF1	RTF1	TCEA2	WDR61
cluster_205	6	ARAF	BRAF	GSK3B	MAP2K1	MAP2K2	RAF1
cluster_206	4	ARRB1	ARRB2	MAP2K4	MAP3K5
cluster_207	6	CHUK	IKBKB	IKBKG	MAP3K3	MAP3K7	TRAF6
cluster_208	10	ATP5F1A	ATP5F1D	ATP5F1E	ATP5MD	ATP5ME	ATP5MF	ATP5MG	ATP5MGL	ATP5PD	ATP5PF
cluster_209	10	DAD1	DDOST	KRTCAP2	MLEC	OST4	OSTC	RPN1	RPN2	TMEM258	TUSC3
cluster_210	5	GGA3	RPS27A	UBA52	UBB	UBC
cluster_211	5	COMMD1	COMMD4	COMMD6	COMMD8	COMMD9
cluster_212	5	AMY1B	AMY2B	MGAM	MGAM2	SI
cluster_213	8	KIF5A	KIF5B	KIF5C	KLC1	KLC2	KLC3	KLC4	SNCA
cluster_214	5	GFPT1	GFPT2	GNPDA1	GNPDA2	GNPNAT1
cluster_215	14	ENY2	KAT2A	KAT2B	SARS1	SGF29	SUPT20H	SUPT3H	TADA2A	TADA3	TAF10	TAF12	TAF9	TAF9B	TRRAP
cluster_216	4	NAF1	NHP2	NOP10	SHQ1
cluster_217	8	EEF2K	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_218	7	GPAA1	PIGF	PIGK	PIGO	PIGS	PIGT	PIGU
cluster_219	4	FMR1	FXR1	FXR2	TDRD3
cluster_220	6	ATXN3	ATXN3L	RPS27A	UBA52	UBB	UBC
cluster_221	5	KLF1	RPS27A	UBA52	UBB	UBC
cluster_222	8	CDC73	CTR9	ELOA	ERCC6	PAF1	RTF1	TCEA2	WDR61
cluster_223	7	HSP90AA1	HSP90AB1	HSPA1B	HSPA4	HSPA8	MAPT	STUB1
cluster_224	5	PCBD1	PCBD2	QDPR	TPH1	TPH2
cluster_225	8	ELAVL1	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG2	PRKAG3
cluster_226	4	PRKACA	PRKACB	PRKACG	SLC9A3R1
cluster_227	4	BIRC2	BIRC3	SEPTIN4	XIAP
cluster_228	5	CHUK	ERC1	IKBKB	IKBKG	NFKBIA
cluster_229	5	CETN3	ENY2	MAD1L1	MCM3AP	PCID2
cluster_230	6	EIPR1	VPS50	VPS51	VPS52	VPS53	VPS54
cluster_231	8	CALM3	CALML3	CALML4	CALML5	CALML6	PDE1A	PDE1B	PDE1C
cluster_232	4	AKT1	AKT2	AKT3	TBC1D4
cluster_233	5	MYO6	RPS27A	UBA52	UBB	UBC
cluster_234	9	BOC	CDON	DHH	GAS1	IHH	LRP2	PTCH1	PTCH2	SHH
cluster_235	5	AGXT	AGXT2	GLDC	SHMT1	SHMT2
cluster_236	4	DVL1	DVL2	DVL3	INVS
cluster_237	5	TNFRSF13B	TNFRSF13C	TNFRSF17	TNFSF13	TNFSF13B
cluster_238	5	EIPR1	VPS50	VPS51	VPS53	VPS54
cluster_239	6	LINGO1	MAG	NGFR	OMG	RTN4	RTN4R
cluster_240	4	MAP3K11	MAPK8IP1	MAPK8IP2	MAPK8IP3
cluster_241	4	ARTN	GFRA1	NRTN	RET
cluster_242	5	HAMP	HFE	HJV	TFR2	TMPRSS6
cluster_243	4	AURKB	CDCA8	INCENP	KCNJ6
cluster_244	5	CETN2	NUP153	NUP98	RANBP2	TPR
cluster_245	5	IL18	IL18BP	IL18R1	IL18RAP	IL37
cluster_246	4	AKT1S1	MTOR	PPARG	RPTOR
cluster_247	4	GGA1	GGA2	GGA3	M6PR
cluster_248	4	AKT1	AKT2	AKT3	PDPK1
cluster_249	4	HTR3A	HTR3C	HTR3D	HTR3E
cluster_250	6	RLN1	RLN2	RXFP1	RXFP2	RXFP3	RXFP4
cluster_251	4	CASP6	LMNA	LMNB1	LMNB2
cluster_252	4	IL19	IL20	IL20RA	IL24
cluster_253	5	TNFRSF10A	TNFRSF10B	TNFRSF10C	TNFRSF10D	TNFSF10
cluster_254	9	OCLN	PPP2CA	PPP2CB	PPP2R1A	PPP2R1B	PPP2R2A	PPP2R2B	PPP2R2C	PPP2R2D
cluster_255	4	BCL10	CARD10	CARD11	CARD14
cluster_256	4	PRKACA	PRKACB	PRKACG	RHOA
cluster_257	4	E2F2	RB1	RBL1	RBL2
cluster_258	5	PTGDS	PTGES	PTGES2	PTGES3	PTGIS
cluster_259	4	PRKACA	PRKACB	PRKACG	TRPV1
cluster_260	6	JAK1	JAK2	JAK3	STAM	STAM2	TYK2
cluster_261	6	C1QA	C1QB	C1QC	C1R	C1S	LOC102723407
cluster_262	4	SKP1	TBL1X	TBL1XR1	TBL1Y
cluster_263	4	GLUD1	GLUD2	GLUL	RIPK3
cluster_264	5	HSP90AA1	HSP90AB1	HSPA4	HSPA8	TSG101
cluster_265	9	ATP5F1E	ATP5MD	ATP5ME	ATP5MF	ATP5MG	ATP5MGL	ATP5PB	ATP5PD	ATP5PF
cluster_266	4	CETN3	MAD1L1	MCM3AP	PCID2
cluster_267	4	IL18	IL18BP	IL18R1	IL18RAP
cluster_268	4	ASTN2	KIAA1328	MIPOL1	RPAP2
