Graph,#PC,Acc_avg,MMR_avg,BestMatch_avg
STRING,2000,0.1969948056776682,0.1369820375634096,0.37153845231897475
BioPlex,2000,0.16144112324915433,0.12219124149640251,0.29281973791312227
HuRI,2000,0.08298193513604149,0.0865249471104612,0.1793846081073806
BioGRID,2000,0.14359705789446675,0.10426807084256626,0.2445612477037307
ComPPI,2000,0.1263604989201617,0.07842172265646415,0.15694384923651084
IntAct,2000,0.1640462426332801,0.098569244980072,0.2095350572624902
hu.MAP2,1885,0.21224215357270884,0.20183126654568784,0.4835146312585712
