Graph,#PC,F1_CORUM,F1_ComplexPortal,MMR_CORUM,MMR_ComplexPortal
STRING,8000,0.4763385096510716,0.5729553664435387,0.222102246247653,0.2717333104470537
BioPlex,8000,0.3574141691426404,0.496353106046368,0.1671552790193329,0.2543847158455395
HuRI,6800,0.2265934728253897,0.3105461737318091,0.0867324392221157,0.0844188215180907
BioGRID,8000,0.2423918366624646,0.3490130181391085,0.1113806270875767,0.1693502070500872
ComPPI,8000,0.327390550556578,0.3927417398580048,0.1923036593591643,0.2195733544658439
IntAct,8000,0.2587061645633667,0.3708780427141733,0.1419136605089503,0.1940977349169776
hu.MAP2,2788,0.4663838115111169,0.5841672376721379,0.205132011081813,0.2982036670351363
