Graph,#PC,Acc_avg,MMR_avg,BestMatch_avg
STRING,2000,0.17417954272226122,0.12312441729487744,0.37153845231897475
BioPlex,2000,0.14077720853561754,0.1099614382060468,0.31569993821690656
HuRI,2000,0.0514584879341392,0.05295687173689515,0.21765311224153483
BioGRID,2000,0.12059492711609661,0.09082478515516965,0.247912546232534
ComPPI,2000,0.15769608373801886,0.097926389550146,0.24538500960870208
IntAct,2000,0.1390680427446161,0.0833084294588719,0.20983335850799015
hu.MAP2,1885,0.1953751600549101,0.18636141375880436,0.4835146312585712
