Graph,#PC,F1_CORUM,F1_ComplexPortal,MMR_CORUM,MMR_ComplexPortal
STRING,8000,0.4615562524295534,0.5583455312877247,0.2385877078838552,0.2602946854823643
BioPlex,8000,0.3367142611155066,0.4845252421108898,0.1999986780879975,0.2687947970073818
HuRI,6793,0.2290982012213726,0.3115524255718005,0.139831988137375,0.1239706056572809
BioGRID,8000,0.2420444834689358,0.3505646805540424,0.1479446219294417,0.1936966155071404
ComPPI,8000,0.3015837426698389,0.3210822771339296,0.213320446363745,0.2061894875922859
IntAct,8000,0.2224974536546366,0.2990951297159267,0.1675709141222796,0.1799865285258912
hu.MAP2,2788,0.4663838115111169,0.5841672376721379,0.2264164699130744,0.3079400516594046
