Graph,#PC,F1_CORUM,F1_ComplexPortal,MMR_CORUM,MMR_ComplexPortal
STRING,8000,0.4477596828832723,0.5647817027574179,0.233726735794497,0.25424290901131
HuRI,6837,0.2350033057788256,0.3160324220498334,0.1376872118320246,0.1236417413027849
