Graph,#PC,F1_CORUM,F1_ComplexPortal,MMR_CORUM,MMR_ComplexPortal
STRING,8000,0.4442363364339864,0.5691076140485144,0.2363503305358991,0.2650951424897138
BioPlex,8000,0.3497179067694251,0.4696015776193129,0.2113741398054883,0.2815896632810479
HuRI,8000,0.2653201534532783,0.359289259779848,0.1557648596849759,0.1439784388942001
BioGRID,8000,0.2503663946898435,0.3640623135147233,0.1598938800091049,0.2125145259169041
ComPPI,8000,0.1848995786428184,0.223692370913542,0.1476925518207028,0.1577541685679696
IntAct,8000,0.2342128624445118,0.3128863954345027,0.1714845787243624,0.1882510466385053
hu.MAP2,3222,0.4831706494693132,0.6030779089965419,0.2517300204017611,0.3380090801465188
