Graph,#PC,Acc_avg,MMR_avg,BestMatch_avg
STRING,2000,0.19758106466456446,0.12927318179928593,0.4171051347068818
BioPlex,2000,0.17331079461967813,0.1268083796208161,0.34234469647410537
HuRI,2000,0.04406597832514785,0.04596850560980985,0.17893739869148
BioGRID,2000,0.1251064656969447,0.0921428722891047,0.25836021119349084
ComPPI,2000,0.17980875739596613,0.10351012640082355,0.2610847049466758
IntAct,2000,0.1611048295727244,0.0868659370696427,0.2336246187437443
hu.MAP2,1868,0.19778068962452033,0.18663484016827353,0.48876429290994217
