cluster_136	9	FGFR1OP2	MOB4	RASSF3	SIKE1	SLMAP	STRIP1	STRN	STRN3	STRN4
cluster_137	9	FGFR1OP2	MOB4	SIKE1	SLMAP	STRIP1	STRN	STRN3	STRN4	TNFRSF1A
cluster_138	9	FGFR1OP2	MOB4	SLMAP	STK3	STK4	STRIP1	STRN	STRN3	STRN4
cluster_139	9	FILIP1	MOB4	PDCD10	STK26	STRIP1	STRIP2	STRN	STRN3	STRN4
cluster_140	9	FOSL2	IFT172	IFT22	IFT46	IFT52	IFT56	IFT70B	IFT74	IFT81
cluster_141	9	GTF2F1	POLR2A	POLR2B	POLR2C	POLR2D	POLR2E	POLR2F	POLR2G	POLR2K
cluster_142	9	HAUS1	HAUS2	HAUS3	HAUS4	HAUS5	HAUS6	HAUS7	HAUS8	RNF10
cluster_143	9	IFT172	IFT20	IFT22	IFT46	IFT52	IFT57	IFT80	IFT81	IFT88
cluster_144	9	KRT18	KRT8	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_145	9	MRPS12	MRPS15	MRPS17	MRPS18C	MRPS2	MRPS25	MRPS26	MRPS34	NOA1
cluster_146	9	POLR2A	POLR2B	POLR2C	POLR2D	POLR2E	POLR2G	POLR2I	POLR2M	RNGTT
cluster_147	9	PSMA1	PSMA2	PSMA5	PSMB10	PSMB3	PSMB4	PSMB7	PSMB9	TMEM31
cluster_148	9	PSMC1	PSMC3	PSMC4	PSMD13	PSMD14	PSMD2	PSMD4	PSMD6	TP53BP1
cluster_149	9	PSMC3	PSMC4	PSMC5	PSMC6	PSMD1	PSMD14	PSMD2	PSMD4	TMEM67
cluster_150	9	PSMC5	PSMD1	PSMD11	PSMD13	PSMD2	PSMD3	PSMD4	PSMD7	PTPN6
cluster_151	9	RGS3	SEPTIN10	SEPTIN11	SEPTIN2	SEPTIN3	SEPTIN6	SEPTIN7	SEPTIN8	SEPTIN9
cluster_152	9	SNRPA1	SNRPB	SNRPB2	SNRPD3	SNRPE	SNRPF	SNRPG	SNRPN	SNUPN
cluster_153	9	TBC1D14	TRAPPC1	TRAPPC11	TRAPPC12	TRAPPC13	TRAPPC2L	TRAPPC3	TRAPPC6B	TRAPPC8
cluster_154	8	AAK1	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_155	8	AASS	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_156	8	ABI1	BAIAP2	CYFIP1	CYFIP2	NCKAP1	NHSL3	WASF1	WASF2
cluster_157	8	ABI1	CYFIP1	CYFIP2	NCKAP1	TIMM50	WASF1	WASF2	WASF3
cluster_158	8	ACTR3B	CCT2	CCT3	CCT4	CCT6A	CCT7	CCT8	TCP1
cluster_159	8	ACTR5	ACTR8	INO80	INO80C	INO80D	NFRKB	RUVBL1	RUVBL2
cluster_160	8	ADRM1	PAAF1	PSMC1	PSMD13	PSMD14	PSMD2	PSMD5	PSMD8
cluster_161	8	ADRM1	PLEKHA7	PSMC5	PSMC6	PSMD11	PSMD13	PSMD6	PSMD7
cluster_162	8	ADRM1	PSMC6	PSMD11	PSMD12	PSMD3	PSMD4	PSMD6	XRCC6
cluster_163	8	AKAP11	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_164	8	AMBRA1	COPS2	COPS5	COPS6	CUL3	CUL4A	CUL4B	GPS1
cluster_165	8	AMPD2	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_166	8	ANAPC1	ANAPC16	ANAPC4	ANAPC5	BUB3	CDC16	CDC26	CDC27
cluster_167	8	ANAPC1	ANAPC2	ANAPC4	ANAPC5	CDC16	CDC27	FBXO5	SKP1
cluster_168	8	ANLN	CAPZA2	LIMA1	MYH9	MYO18A	PPP1CB	SYNPO	TNFAIP1
cluster_169	8	ARAF	CCT2	CCT3	CCT4	CCT6A	CCT7	CCT8	TCP1
cluster_170	8	ARCN1	CD74	COPA	COPB1	COPB2	COPE	COPG1	COPG2
cluster_171	8	ARCN1	CDC5L	COPA	COPB1	COPB2	COPG1	COPG2	SNW1
cluster_172	8	ARCN1	COPA	COPB1	COPB2	COPE	COPG1	COPG2	SLC1A3
cluster_173	8	ARCN1	COPA	COPB1	COPB2	COPE	COPG1	COPG2	SLC35F1
cluster_174	8	ARCN1	COPA	COPB2	COPE	COPG1	COPG2	COPZ1	SCYL3
cluster_175	8	ARHGAP19	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_176	8	ARHGEF5	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_177	8	ARMC8	GCH1	GID8	MAEA	RANBP10	RANBP9	RMND5A	WDR26
cluster_178	8	ARMC8	GID4	GID8	LILRB4	MAEA	MKLN1	RANBP10	RMND5A
cluster_179	8	ARMC8	GID8	HTRA2	MAEA	MKLN1	RANBP10	RMND5A	WDR26
cluster_180	8	ATG9A	CFTR	DDX6	YWHAB	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_181	8	AURKB	MRPL1	MRPL10	MRPL16	MRPL23	MRPL27	MRPL28	MRPL4
cluster_182	8	BAIAP2	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_183	8	BBS1	BBS2	BBS4	BBS5	BBS7	BBS9	LZTFL1	TTC8
cluster_184	8	BBS1	BBS2	BBS4	BBS5	BBS7	BBS9	NME3	TTC8
cluster_185	8	BCAR1	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_186	8	BLK	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8
cluster_187	8	BNIP1	C19orf25	NAPA	NBAS	SCFD1	SCFD2	STX18	USE1
cluster_188	8	BNIP1	NAPA	NBAS	RINT1	SCFD1	SCFD2	STX18	USE1
cluster_189	8	BRD8	DMAP1	EP400	EPC1	FAM9B	MORF4L1	MORF4L2	VPS72
cluster_190	8	C9orf78	CD2BP2	DDX23	EFTUD2	PRPF6	PRPF8	SNRNP200	USP39
cluster_191	8	CAMSAP3	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_192	8	CANX	EMC1	EMC2	EMC3	EMC4	EMC7	EMC8	MMGT1
cluster_193	8	CBX4	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_194	8	CCDC22	COMMD1	COMMD2	COMMD3	COMMD4	COMMD6	COMMD8	SCLT1
cluster_195	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	PDCD5
cluster_196	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	PDCL
cluster_197	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	CETN2	TCP1
cluster_198	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	FNDC11	TCP1
cluster_199	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	MKS1	TCP1
cluster_200	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	PHOSPHO1	TCP1
cluster_201	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT7	PPP6C	TCP1
cluster_202	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT8	IKBKE	TCP1
cluster_203	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT8	MYC	TCP1
cluster_204	8	CCT2	CCT3	CCT4	CCT5	CCT6A	CCT8	TCP1	TNK2
cluster_205	8	CCT2	CCT3	CCT4	CCT5	CCT7	CCT8	PRKACG	TCP1
cluster_206	8	CCT2	CCT3	CCT4	CCT5	CCT7	CCT8	SIK3	TCP1
cluster_207	8	CCT2	CCT3	CCT4	CCT6A	CCT7	CCT8	MAPK6	TCP1
cluster_208	8	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	MAPK4	TCP1
cluster_209	8	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	SUV39H2	TCP1
cluster_210	8	CCT3	CCT4	CCT5	CCT6A	CCT7	CCT8	TCP1	TRIB3
cluster_211	8	CDC42EP1	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_212	8	CDC42EP4	SEPTIN10	SEPTIN11	SEPTIN14	SEPTIN2	SEPTIN3	SEPTIN5	SEPTIN8
cluster_213	8	CDCA4	PPP2CA	PPP2CB	PPP2R1A	PPP2R1B	PPP2R2A	PPP2R2C	PPP2R2D
cluster_214	8	CDK17	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_215	8	CHD8	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_216	8	CNOT1	CNOT10	CNOT11	CNOT2	CNOT3	CNOT6L	CNOT7	PDK4
cluster_217	8	COG1	COG2	COG3	COG4	COG5	COG6	COG7	COG8
cluster_218	8	COG1	COG2	COG3	COG4	COG5	COG7	COG8	COMMD8
cluster_219	8	COMMD1	COMMD2	COMMD4	COMMD6	COMMD7	COMMD9	DENND10	VPS35L
cluster_220	8	COPS2	COPS3	COPS4	COPS5	COPS6	COPS7A	COPS7B	DENR
cluster_221	8	COPS2	COPS3	COPS5	COPS6	COPS7A	CUL1	FBXL14	GPS1
cluster_222	8	COPS2	COPS3	COPS6	COPS8	CUL4A	CUL4B	DCAF6	GPS1
cluster_223	8	COPS2	COPS5	COPS6	COPS7A	CUL1	CUL5	GPS1	SKP2
cluster_224	8	COPS2	COPS5	COPS6	CUL3	DCUN1D1	GPS1	NEDD8	SHKBP1
cluster_225	8	CYLD	SFN	YWHAB	YWHAE	YWHAG	YWHAH	YWHAQ	YWHAZ
cluster_226	8	DAP3	MCAT	MRPS18B	MRPS2	MRPS23	MRPS24	MRPS7	ZNF133
cluster_227	8	DDX20	GEMIN2	GEMIN4	GEMIN5	GEMIN6	GEMIN7	GEMIN8	NCKIPSD
cluster_228	8	DDX20	GEMIN2	GEMIN4	GEMIN5	GEMIN6	GEMIN7	GEMIN8	SMN1
