cluster_93	5	LDB1	LHX6	SSBP2	SSBP3	SSBP4
cluster_94	5	LSR	YWHAB	YWHAG	YWHAH	YWHAQ
cluster_95	5	MRPS11	MRPS15	MRPS17	MRPS25	MRPS27
cluster_96	5	NDNL2	NSMCE1	OBFC1	SMC5	SMC6
cluster_97	5	NDNL2	NSMCE4A	PJA1	SMC5	SMC6
cluster_98	5	NOL9	PELP1	SENP3	TEX10	WDR18
cluster_99	5	PHKG2	PRKAA1	PRKAB1	PRKAB2	PRKAG1
cluster_100	5	POLR3K	PRKAA1	PRKAB1	PRKAB2	PRKAG1
cluster_101	5	PRPF3	SNRNP27	SNRPE	SNRPG	SNRPN
cluster_102	5	RASSF8	YWHAB	YWHAG	YWHAH	YWHAZ
cluster_103	5	RGS3	SEPT10	SEPT11	SEPT2	SEPT8
cluster_104	5	SLC4A7	YWHAB	YWHAG	YWHAH	YWHAQ
cluster_105	5	SSFA2	YWHAB	YWHAG	YWHAH	YWHAQ
cluster_106	5	TBC1D5	VPS26A	VPS26B	VPS29	VPS35
cluster_107	5	YWHAB	YWHAG	YWHAH	YWHAQ	ZNF638
cluster_108	5	ZNF174	ZNF192	ZNF232	ZNF397	ZNF496
cluster_109	4	ABCA2	ATP5A1	ATP5B	ATP5F1
cluster_110	4	ABI2	C10orf88	CYFIP2	NCKAP1
cluster_111	4	ACACA	ACACB	MID1IP1	THRSP
cluster_112	4	ACD	POT1	TERF1	TINF2
cluster_113	4	ACD	POT1	TERF2IP	TINF2
cluster_114	4	ACTR3	ACTR3B	ARPC1B	ARPC4
cluster_115	4	ADARB1	PRKRA	RPL35A	RRS1
cluster_116	4	ADIPOQ	C19orf63	TMEM111	TMEM85
cluster_117	4	AKAP11	AP2M1	PRKACB	PRKAR1B
cluster_118	4	AKAP11	ETFB	PRKACB	PRKAR1B
cluster_119	4	AKAP11	GSK3A	PRKACB	PRKAR1B
cluster_120	4	AKAP11	KIAA1383	PRKACB	PRKAR1B
cluster_121	4	AKAP11	KLHL28	PRKACB	PRKAR1B
cluster_122	4	AKAP11	MLF1	PRKACB	PRKAR1B
cluster_123	4	AKAP11	NAPG	PRKACB	PRKAR1B
cluster_124	4	AKAP11	PICK1	PRKACB	PRKAR1B
cluster_125	4	AKAP11	PRKACB	PRKAR1B	RABGGTB
cluster_126	4	AKAP11	PRKACB	PRKAR1B	SULF2
cluster_127	4	AKAP7	PRKACB	PRKACG	PRKAR1B
cluster_128	4	ALKBH3	ASCC2	ASCC3	TRIP4
cluster_129	4	AMHR2	RPS6KA1	RPS6KA2	RPS6KA3
cluster_130	4	AMIGO1	DNM1	DNM2	DNM3
